Brand,Model,Acceleration_0to100_Sec,Top_Speed_KmH,Range_Km,Efficiency_WhKm,Fast_Charge_Speed_KmH,Has_Rapid_Charge,Drive_Type,Plug_Type,Body_Style,Market_Segment,Seats,Price_EUR,Cost_Per_Km_Range,Efficiency_Rating,Range_Class,Price_Segment,Performance_Score
Audi ,e-tron GT ,3.5,240,425,197,850,Yes,AWD,Type 2 CCS,Sedan,F,4,125000,294.12,C,Long Range,Luxury,68.57
Tesla ,Model 3 Long Range Performance,3.4,261,435,167,910,Yes,AWD,Type 2 CCS,Sedan,D,5,61480,141.33,A,Long Range,Premium,76.76
Volkswagen ,ID.4 ,7.5,160,420,183,560,Yes,RWD,Type 2 CCS,SUV,C,5,45000,107.14,B,Long Range,Mid-Range,21.33
Volkswagen ,ID.3 Pro,9.0,160,350,166,490,Yes,RWD,Type 2 CCS,Hatchback,C,5,33000,94.29,A,Standard,Budget,17.78
Volvo ,XC40 P8 AWD Recharge,4.9,180,375,200,470,Yes,AWD,Type 2 CCS,SUV,C,5,60437,161.17,C,Long Range,Premium,36.73
BMW ,i3 120 Ah,7.3,150,235,161,270,Yes,RWD,Type 2 CCS,Hatchback,B,4,38017,161.77,A,City,Mid-Range,20.55
Peugeot ,e-2008 SUV ,8.5,150,250,180,380,Yes,FWD,Type 2 CCS,SUV,B,5,34361,137.44,B,City,Budget,17.65
Audi ,e-tron 50 quattro,6.8,190,280,231,450,Yes,AWD,Type 2 CCS,SUV,E,5,67358,240.56,C,Standard,Premium,27.94
Kia ,e-Niro 64 kWh,7.8,167,370,173,350,Yes,FWD,Type 2 CCS,SUV,C,5,38105,102.99,A,Long Range,Mid-Range,21.41
Renault ,Zoe ZE50 R110,11.4,135,315,165,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,31184,99.0,A,Standard,Budget,11.84
Tesla ,Cybertruck Tri Motor,3.0,210,750,267,710,Yes,AWD,Type 2 CCS,Pickup,N,6,75000,100.0,C,Extended,Premium,70.0
Mazda ,MX-30 ,9.0,150,180,178,240,Yes,FWD,Type 2 CCS,SUV,C,5,32646,181.37,B,City,Budget,16.67
Nissan ,Leaf e+,7.3,157,325,172,390,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,37237,114.58,A,Standard,Mid-Range,21.51
Lexus ,UX 300e,7.5,160,270,193,190,Yes,FWD,Type 2 CHAdeMO,SUV,C,5,50000,185.19,C,Standard,Mid-Range,21.33
CUPRA ,el-Born ,6.5,160,425,181,570,Yes,RWD,Type 2 CCS,Hatchback,C,4,45000,105.88,B,Long Range,Mid-Range,24.62
Renault ,Zoe ZE50 R135,9.5,140,310,168,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,33133,106.88,A,Standard,Budget,14.74
Mercedes ,EQA ,5.0,200,350,171,440,Yes,AWD,Type 2 CCS,SUV,C,5,45000,128.57,A,Standard,Mid-Range,40.0
Tesla ,Model S Long Range,3.8,250,515,184,560,Yes,AWD,Type 2,Liftback,F,5,79990,155.32,B,Extended,Premium,65.79
Hyundai ,Kona Electric 39 kWh,9.9,155,255,154,210,Yes,FWD,Type 2 CCS,SUV,B,5,33971,133.22,A+,Standard,Budget,15.66
Audi ,e-tron Sportback 55 quattro,5.7,200,380,228,610,Yes,AWD,Type 2 CCS,SUV,E,5,81639,214.84,C,Long Range,Luxury,35.09
Skoda ,CITIGOe iV ,12.3,130,195,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,24534,125.82,A,City,Budget,10.57
SEAT ,Mii Electric ,12.3,130,195,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,20129,103.23,A,City,Budget,10.57
Kia ,e-Soul 64 kWh,7.9,167,365,175,340,Yes,FWD,Type 2 CCS,SUV,B,5,36837,100.92,A,Long Range,Mid-Range,21.14
Opel ,Ampera-e ,7.3,150,335,173,210,Yes,FWD,Type 2 CCS,MPV,B,5,41906,125.09,A,Standard,Mid-Range,20.55
Porsche ,Taycan 4S,4.0,250,365,195,730,Yes,AWD,Type 2 CCS,Sedan,F,4,102945,282.04,C,Long Range,Luxury,62.5
Lightyear ,One ,10.0,150,575,104,540,Yes,AWD,Type 2 CCS,Liftback,F,5,149000,259.13,A+,Extended,Luxury,15.0
Aiways ,U5 ,9.0,150,335,188,350,Yes,FWD,Type 2 CCS,SUV,C,5,36057,107.63,B,Standard,Mid-Range,16.67
Audi ,e-tron 55 quattro,5.7,200,365,237,590,Yes,AWD,Type 2 CCS,SUV,E,5,79445,217.66,C,Long Range,Premium,35.09
Tesla ,Roadster ,2.1,410,970,206,920,Yes,AWD,Type 2 CCS,Cabrio,S,4,215000,221.65,C,,,195.24
Opel ,Mokka-e ,8.5,150,255,176,390,Yes,FWD,Type 2 CCS,SUV,B,5,35000,137.25,B,Standard,Budget,17.65
Skoda ,Enyaq iV 80,8.8,160,420,183,560,Yes,RWD,Type 2 CCS,SUV,C,5,40000,95.24,B,Long Range,Mid-Range,18.18
Tesla ,Model X Long Range,4.6,250,450,211,490,Yes,AWD,Type 2,SUV,F,7,85990,191.09,C,Long Range,Luxury,54.35
Honda ,e Advance,8.3,145,170,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,35921,211.3,A,City,Mid-Range,17.47
DS ,3 Crossback E-Tense,8.7,150,250,180,380,Yes,FWD,Type 2 CCS,SUV,B,5,37422,149.69,B,City,Mid-Range,17.24
Renault ,Twingo ZE,12.6,135,130,164,-,No,RWD,Type 2,Hatchback,A,4,24790,190.69,A,City,Budget,10.71
Citroen ,e-C4 ,9.7,150,250,180,380,Yes,FWD,Type 2 CCS,SUV,C,5,40000,160.0,B,City,Mid-Range,15.46
Tesla ,Model S Performance,2.5,261,505,188,550,Yes,AWD,Type 2,Liftback,F,5,96990,192.06,B,Extended,Luxury,104.4
Renault ,Zoe ZE40 R110,11.4,135,255,161,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,29234,114.64,A,Standard,Budget,11.84
Tesla ,Model Y Long Range Performance,3.7,241,410,177,900,Yes,AWD,Type 2 CCS,SUV,D,7,65620,160.05,B,Long Range,Premium,65.14
Nissan ,Ariya 87kWh,7.6,160,440,198,520,Yes,FWD,Type 2 CCS,Hatchback,C,5,50000,113.64,C,Long Range,Mid-Range,21.05
Jaguar ,I-Pace ,4.8,200,365,232,340,Yes,AWD,Type 2 CCS,SUV,E,5,75351,206.44,C,Long Range,Premium,41.67
Ford ,Mustang Mach-E ER RWD,7.0,180,450,200,430,Yes,RWD,Type 2 CCS,SUV,D,5,54475,121.06,C,Long Range,Premium,25.71
Porsche ,Taycan 4S Plus,4.0,250,425,197,890,Yes,AWD,Type 2 CCS,Sedan,F,4,109302,257.18,C,Long Range,Luxury,62.5
Nissan ,e-NV200 Evalia ,14.0,123,190,200,190,Yes,FWD,Type 1 CHAdeMO,SPV,N,7,33246,174.98,C,City,Budget,8.79
Tesla ,Cybertruck Dual Motor,5.0,190,460,261,710,Yes,AWD,Type 2 CCS,Pickup,N,6,55000,119.57,C,Extended,Premium,38.0
Renault ,Kangoo Maxi ZE 33,22.4,130,160,194,-,No,FWD,Type 2,SPV,N,5,38000,237.5,C,City,Mid-Range,5.8
Ford ,Mustang Mach-E ER AWD,6.0,180,430,209,410,Yes,AWD,Type 2 CCS,SUV,D,5,62900,146.28,C,Long Range,Premium,30.0
BMW ,i3s 120 Ah,6.9,160,230,165,260,Yes,RWD,Type 2 CCS,Hatchback,B,4,41526,180.55,A,City,Mid-Range,23.19
Skoda ,Enyaq iV 80X,7.0,160,400,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,45000,112.5,C,Long Range,Mid-Range,22.86
Porsche ,Taycan Cross Turismo ,3.5,250,385,217,770,Yes,AWD,Type 2 CCS,Station,F,4,150000,389.61,C,Long Range,Luxury,71.43
Byton ,M-Byte 95 kWh 4WD,5.5,190,390,244,460,Yes,AWD,Type 2 CCS,SUV,E,5,64000,164.1,C,Long Range,Premium,34.55
Sono ,Sion ,9.0,140,225,156,270,Yes,FWD,Type 2 CCS,Hatchback,C,5,25500,113.33,A+,City,Budget,15.56
Kia ,e-Niro 39 kWh,9.8,155,235,167,230,Yes,FWD,Type 2 CCS,SUV,C,5,34400,146.38,A,City,Budget,15.82
Audi ,Q4 Sportback e-tron ,6.3,180,410,188,550,Yes,AWD,Type 2 CCS,SUV,D,5,57500,140.24,B,Long Range,Premium,28.57
Smart ,EQ forfour ,12.7,130,95,176,-,No,RWD,Type 2,Hatchback,A,4,22030,231.89,B,City,Budget,10.24
Ford ,Mustang Mach-E SR AWD,6.0,180,340,206,360,Yes,AWD,Type 2 CCS,SUV,D,5,54000,158.82,C,Standard,Premium,30.0
Porsche ,Taycan Turbo,3.2,260,390,215,810,Yes,AWD,Type 2 CCS,Sedan,F,4,148301,380.26,C,Long Range,Luxury,81.25
Volkswagen ,ID.3 1st,7.3,160,340,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,38987,114.67,A,Standard,Mid-Range,21.92
Tesla ,Model X Performance,2.8,250,440,216,480,Yes,AWD,Type 2,SUV,F,7,102990,234.07,C,Long Range,Luxury,89.29
Smart ,EQ fortwo coupe,11.6,130,100,167,-,No,RWD,Type 2,Hatchback,A,2,21387,213.87,A,City,Budget,11.21
Ford ,Mustang Mach-E SR RWD,6.6,180,360,194,380,Yes,RWD,Type 2 CCS,SUV,D,5,46900,130.28,C,Long Range,Mid-Range,27.27
Mercedes ,EQV 300 Long,10.0,140,330,273,290,Yes,FWD,Type 2 CCS,SPV,N,7,70631,214.03,C,Standard,Premium,14.0
Fiat ,500e Hatchback,9.0,150,250,168,330,Yes,FWD,Type 2 CCS,Hatchback,B,4,34900,139.6,A,City,Budget,16.67
Tesla ,Cybertruck Single Motor,7.0,180,390,256,740,Yes,RWD,Type 2 CCS,Pickup,N,6,45000,115.38,C,Long Range,Mid-Range,25.71
Audi ,e-tron Sportback 50 quattro,6.8,190,295,219,470,Yes,AWD,Type 2 CCS,SUV,E,5,69551,235.77,C,Standard,Premium,27.94
Skoda ,Enyaq iV vRS,6.2,180,400,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,47500,118.75,C,Long Range,Mid-Range,29.03
Skoda ,Enyaq iV 60,9.0,160,320,181,440,Yes,RWD,Type 2 CCS,SUV,C,5,37500,117.19,B,Standard,Mid-Range,17.78
Audi ,e-tron S 55 quattro,4.5,210,320,270,510,Yes,AWD,Type 2 CCS,SUV,E,5,93800,293.12,C,Standard,Luxury,46.67
Smart ,EQ fortwo cabrio,11.9,130,95,176,-,No,RWD,Type 2,Cabrio,A,2,24565,258.58,B,City,Budget,10.92
Kia ,e-Soul 64 kWh,7.9,167,365,175,320,Yes,FWD,Type 2 CCS,SUV,B,5,36837,100.92,A,Long Range,Mid-Range,21.14
Nissan ,Ariya e-4ORCE 87kWh,5.7,200,420,207,500,Yes,AWD,Type 2 CCS,Hatchback,C,5,57500,136.9,C,Long Range,Premium,35.09
Fiat ,500e Convertible,9.0,150,250,168,330,Yes,FWD,Type 2 CCS,Cabrio,B,4,37900,151.6,A,City,Mid-Range,16.67
Volkswagen ,ID.3 Pro Performance,7.3,160,340,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,35575,104.63,A,Standard,Mid-Range,21.92
Kia ,e-Soul 39 kWh,9.9,157,230,170,220,Yes,FWD,Type 2 CCS,SUV,B,5,33133,144.06,A,City,Budget,15.86
Byton ,M-Byte 72 kWh 2WD,7.5,190,325,222,420,Yes,RWD,Type 2 CCS,SUV,E,5,53500,164.62,C,Standard,Premium,25.33
Nissan ,Ariya 63kWh,7.5,160,330,191,440,Yes,FWD,Type 2 CCS,Hatchback,C,5,45000,136.36,C,Standard,Mid-Range,21.33
Audi ,e-tron S Sportback 55 quattro,4.5,210,335,258,540,Yes,AWD,Type 2 CCS,SUV,E,5,96050,286.72,C,Standard,Luxury,46.67
Nissan ,Ariya e-4ORCE 63kWh,5.9,200,325,194,440,Yes,AWD,Type 2 CCS,Hatchback,C,5,50000,153.85,C,Standard,Mid-Range,33.9
Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,200,375,232,450,Yes,AWD,Type 2 CCS,Hatchback,C,5,65000,173.33,C,Long Range,Premium,39.22
Byton ,M-Byte 95 kWh 2WD,7.5,190,400,238,480,Yes,AWD,Type 2 CCS,SUV,E,5,62000,155.0,C,Long Range,Premium,25.33
