Vehicle_Name,Battery_Info,Acceleration_0to100_Sec,Top_Speed_KmH,Range_Km,Efficiency_WhKm,Fast_Charge_Speed_KmH,Drive_Type,Seats,Price_Germany_EUR,Price_UK_GBP,Battery_Capacity_kWh,Brand,Efficiency_Category,Range_Category,Performance_Category
Jaguar I-Pace EV400,Battery Electric Vehicle |       84.7 kWh,4.8,200,365,232,340.0,All Wheel Drive,5,"€77,300","£65,195",84.7,Jaguar,Below Average,Long,Sport
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,7.9,167,370,173,350.0,Front Wheel Drive,5,"€37,790",,64.0,Kia,Good,Long,Performance
Kia e-Soul 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9,157,230,170,220.0,Front Wheel Drive,5,"€33,990",,39.2,Kia,Good,Medium,Standard
Audi Q4 Sportback e-tron 35,Battery Electric Vehicle |       51.5 kWh,9.0,160,295,175,410.0,Rear Wheel Drive,5,"€43,900","£42,250",51.5,Audi,Good,Medium,Standard
Nissan Ariya 63kWh,Battery Electric Vehicle |       63 kWh,7.5,160,335,188,450.0,Front Wheel Drive,5,"€45,000","£40,000",63.0,Nissan,Average,Long,Performance
Nissan Ariya 87kWh,Battery Electric Vehicle |       87 kWh,7.6,160,445,196,530.0,Front Wheel Drive,5,"€50,000","£45,000",87.0,Nissan,Average,Very Long,Performance
Nissan Ariya e-4ORCE 63kWh,Battery Electric Vehicle |       63 kWh,5.9,200,325,194,440.0,All Wheel Drive,5,"€50,000","£45,000",63.0,Nissan,Average,Long,Performance
Nissan Ariya e-4ORCE 87kWh,Battery Electric Vehicle |       87 kWh,5.7,200,420,207,500.0,All Wheel Drive,5,"€57,500","£52,500",87.0,Nissan,Below Average,Very Long,Performance
Nissan Ariya e-4ORCE 87kWh Performance,Battery Electric Vehicle |       87 kWh,5.1,200,385,226,460.0,All Wheel Drive,5,"€65,000","£57,500",87.0,Nissan,Below Average,Long,Performance
Volkswagen ID.3 Pro Performance,Battery Electric Vehicle |       58 kWh,7.3,160,350,166,440.0,Rear Wheel Drive,5,"€36,495","£29,740",58.0,Volkswagen,Good,Long,Performance
MG MG5 EV,Battery Electric Vehicle |       48.8 kWh,7.7,185,295,165,340.0,Front Wheel Drive,5,,"£25,095",48.8,MG,Good,Medium,Performance
Volkswagen ID.4 Pro Performance,Battery Electric Vehicle |       77 kWh,8.5,160,410,188,500.0,Rear Wheel Drive,5,"€44,450","£41,570",77.0,Volkswagen,Average,Very Long,Standard
Mercedes EQV 300 Extra-Long,Battery Electric Vehicle |       90 kWh,12.1,160,320,281,280.0,Front Wheel Drive,7,"€72,281",,90.0,Mercedes,,Long,Economy
Lucid Air Grand Touring,Battery Electric Vehicle |       110 kWh ,3.2,270,660,167,1380.0,All Wheel Drive,5,"€140,000","£125,000",110.0,Lucid,Good,Very Long,Sport
Lucid Air Touring,Battery Electric Vehicle |       85 kWh ,3.4,250,530,160,1390.0,All Wheel Drive,5,"€95,000","£90,000",85.0,Lucid,Excellent,Very Long,Sport
Lucid Air Pure,Battery Electric Vehicle |       85 kWh ,4.2,200,540,157,1410.0,Rear Wheel Drive,5,"€80,000","£70,000",85.0,Lucid,Excellent,Very Long,Sport
Dacia Spring Electric,Battery Electric Vehicle |       26.8 kWh ,15.0,125,170,158,120.0,Front Wheel Drive,4,"€20,490",,26.8,Dacia,Excellent,Short,Economy
Tesla Model 3 Standard Range Plus LFP,Battery Electric Vehicle |       51 kWh ,5.6,225,340,150,570.0,Rear Wheel Drive,5,"€43,560","£40,990",51.0,Tesla,Excellent,Long,Performance
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle |       70 kWh ,4.4,233,455,154,570.0,All Wheel Drive,5,,"£48,490",70.0,Tesla,Excellent,Very Long,Sport
Tesla Model 3 Performance,Battery Electric Vehicle |       76 kWh ,3.3,261,470,162,790.0,All Wheel Drive,5,"€58,560","£59,990",76.0,Tesla,Good,Very Long,Sport
Fiat 500e Hatchback 24 kWh,Battery Electric Vehicle |       23.8 kWh ,9.5,135,165,144,260.0,Front Wheel Drive,4,"€23,560","£20,495",23.8,Fiat,Excellent,Short,Standard
Fiat 500e 3+1,Battery Electric Vehicle |       37.3 kWh ,9.0,150,245,152,410.0,Front Wheel Drive,4,"€29,560",,37.3,Fiat,Excellent,Medium,Standard
Mercedes EQC 400 4MATIC,Battery Electric Vehicle |       80 kWh,5.1,180,370,216,440.0,All Wheel Drive,5,"€66,069","£65,720",80.0,Mercedes,Below Average,Long,Performance
Kia e-Niro 64 kWh,Battery Electric Vehicle |       64 kWh,7.8,167,370,173,350.0,Front Wheel Drive,5,"€39,090","£32,445",64.0,Kia,Good,Long,Performance
Kia e-Niro 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.8,155,235,167,230.0,Front Wheel Drive,5,"€35,290","£30,345",39.2,Kia,Good,Medium,Standard
Citroen e-SpaceTourer XS 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1,130,185,243,250.0,Front Wheel Drive,7,"€50,880",,45.0,Citroen,Below Average,Short,Economy
Citroen e-SpaceTourer M 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1,130,185,243,250.0,Front Wheel Drive,7,"€51,440","£31,995",45.0,Citroen,Below Average,Short,Economy
Citroen e-SpaceTourer XL 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1,130,180,250,240.0,Front Wheel Drive,7,"€52,230",,45.0,Citroen,Below Average,Short,Economy
Citroen e-SpaceTourer M 75 kWh,Battery Electric Vehicle |       68 kWh ,13.3,130,270,252,290.0,Front Wheel Drive,7,"€57,440",,68.0,Citroen,,Medium,Economy
Citroen e-SpaceTourer XL 75 kWh,Battery Electric Vehicle |       68 kWh ,13.3,130,270,252,290.0,Front Wheel Drive,7,"€58,230",,68.0,Citroen,,Medium,Economy
Opel Zafira-e Life S 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1,130,185,243,250.0,Front Wheel Drive,7,"€56,700",,45.0,Opel,Below Average,Short,Economy
Opel Zafira-e Life M 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1,130,185,243,250.0,Front Wheel Drive,7,"€53,800",,45.0,Opel,Below Average,Short,Economy
Opel Zafira-e Life L 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1,130,180,250,240.0,Front Wheel Drive,7,"€54,625","£49,465",45.0,Opel,Below Average,Short,Economy
Opel Zafira-e Life M 75 kWh,Battery Electric Vehicle |       68 kWh ,13.3,130,270,252,290.0,Front Wheel Drive,7,"€59,800",,68.0,Opel,,Medium,Economy
Opel Zafira-e Life L 75 kWh,Battery Electric Vehicle |       68 kWh ,13.3,130,270,252,290.0,Front Wheel Drive,7,"€60,625",,68.0,Opel,,Medium,Economy
Peugeot e-Traveller Compact 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1,130,185,243,250.0,Front Wheel Drive,7,"€50,880",,45.0,Peugeot,Below Average,Short,Economy
Peugeot e-Traveller Standard 50 kWh,Battery Electric Vehicle |       45 kWh ,13.1,130,185,243,250.0,Front Wheel Drive,7,"€55,900","£49,065",45.0,Peugeot,Below Average,Short,Economy
Peugeot e-Traveller Long 50 kWh,Battery Electric Vehicle |       45 kWh ,13.1,130,185,243,250.0,Front Wheel Drive,7,"€56,690","£49,905",45.0,Peugeot,Below Average,Short,Economy
Peugeot e-Traveller Standard 75 kWh,Battery Electric Vehicle |       68 kWh ,13.3,130,270,252,290.0,Front Wheel Drive,7,"€57,440",,68.0,Peugeot,,Medium,Economy
Peugeot e-Traveller Long 75 kWh,Battery Electric Vehicle |       68 kWh ,13.3,130,270,252,290.0,Front Wheel Drive,7,"€58,230",,68.0,Peugeot,,Medium,Economy
Audi e-tron 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7,200,365,237,590.0,All Wheel Drive,5,"€81,500",,86.5,Audi,Below Average,Long,Performance
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7,200,375,231,600.0,All Wheel Drive,5,"€83,750",,86.5,Audi,Below Average,Long,Performance
Seres 3 ,Battery Electric Vehicle |       52 kWh ,8.9,155,270,193,390.0,Front Wheel Drive,5,,,52.0,Seres,Average,Medium,Standard
Hyundai IONIQ 5 Project 45,Battery Electric Vehicle |       72.6 kWh ,5.2,185,370,196,860.0,All Wheel Drive,5,"€59,550","£48,000",72.6,Hyundai,Average,Long,Performance
Porsche Taycan ,Battery Electric Vehicle |       71 kWh,5.4,230,395,180,790.0,Rear Wheel Drive,4,"€83,520","£70,690",71.0,Porsche,Good,Long,Performance
Porsche Taycan Plus,Battery Electric Vehicle |       83.7 kWh,5.4,230,460,182,960.0,Rear Wheel Drive,4,"€89,244","£74,739",83.7,Porsche,Average,Very Long,Performance
Tesla Model S Long Range,Battery Electric Vehicle |       90 kWh ,3.2,250,555,162,830.0,All Wheel Drive,5,"€86,990","£83,980",90.0,Tesla,Good,Very Long,Sport
Tesla Model S Plaid,Battery Electric Vehicle |       90 kWh ,2.1,322,535,168,800.0,All Wheel Drive,5,"€126,990","£118,980",90.0,Tesla,Good,Very Long,Sport
Tesla Model X Long Range,Battery Electric Vehicle |       90 kWh ,3.9,250,475,189,710.0,All Wheel Drive,7,"€95,990","£90,980",90.0,Tesla,Average,Very Long,Sport
Tesla Model X Plaid,Battery Electric Vehicle |       90 kWh ,2.6,262,455,198,680.0,All Wheel Drive,7,"€116,990","£110,980",90.0,Tesla,Average,Very Long,Sport
Mini Cooper SE ,Battery Electric Vehicle |       28.9 kWh,7.3,150,185,156,260.0,Front Wheel Drive,4,"€32,500","£26,000",28.9,Mini,Excellent,Short,Performance
JAC iEV7s ,Battery Electric Vehicle |       39 kWh,12.0,132,225,173,160.0,Front Wheel Drive,5,,,39.0,JAC,Good,Medium,Standard
Volkswagen ID.4 Pure Performance,Battery Electric Vehicle |       52 kWh,9.0,160,285,182,410.0,Rear Wheel Drive,5,"€38,450","£36,030",52.0,Volkswagen,Average,Medium,Standard
Audi e-tron GT quattro,Battery Electric Vehicle |       85 kWh,4.1,245,420,202,840.0,All Wheel Drive,4,"€99,800","£79,900",85.0,Audi,Below Average,Very Long,Sport
Volvo C40 Recharge,Battery Electric Vehicle |       75 kWh,4.7,180,340,221,440.0,All Wheel Drive,5,"€62,050","£57,400",75.0,Volvo,Below Average,Long,Sport
Hyundai Kona Electric 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9,155,250,157,210.0,Front Wheel Drive,5,"€35,650","£27,950",39.2,Hyundai,Excellent,Medium,Standard
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle |       64 kWh,7.9,167,395,162,370.0,Front Wheel Drive,5,"€41,850","£32,550",64.0,Hyundai,Good,Long,Performance
Porsche Taycan 4S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,4.1,240,405,207,850.0,All Wheel Drive,4,"€111,842","£87,820",83.7,Porsche,Below Average,Very Long,Sport
Porsche Taycan Turbo Cross Turismo,Battery Electric Vehicle |       83.7 kWh,3.3,250,385,217,800.0,All Wheel Drive,4,"€154,444","£116,950",83.7,Porsche,Below Average,Long,Sport
Porsche Taycan Turbo S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,2.9,250,380,220,790.0,All Wheel Drive,4,"€187,746","£139,910",83.7,Porsche,Below Average,Long,Sport
Kia EV6 GT,Battery Electric Vehicle |       77.4 kWh ,3.5,260,395,196,920.0,All Wheel Drive,5,"€65,990","£58,295",77.4,Kia,Average,Long,Sport
BMW iX xDrive40,Battery Electric Vehicle |       71 kWh,6.1,200,350,203,470.0,All Wheel Drive,5,"€77,300","£69,905",71.0,BMW,Below Average,Long,Performance
BMW iX xDrive50,Battery Electric Vehicle |       105.2 kWh,4.6,200,505,208,620.0,All Wheel Drive,5,"€98,000","£91,905",105.2,BMW,Below Average,Very Long,Sport
MG MG5 Electric,Battery Electric Vehicle |       57 kWh ,8.3,180,340,168,440.0,Front Wheel Drive,5,"€35,000",,57.0,MG,Good,Long,Standard
MG Marvel R Performance,Battery Electric Vehicle |       65 kWh ,4.9,200,330,197,380.0,All Wheel Drive,5,"€50,000",,65.0,MG,Average,Long,Sport
Hyundai IONIQ 5 Standard Range 2WD,Battery Electric Vehicle |       58 kWh ,8.5,185,310,187,720.0,Rear Wheel Drive,5,"€41,900","£36,995",58.0,Hyundai,Average,Long,Standard
Hyundai IONIQ 5 Standard Range AWD,Battery Electric Vehicle |       58 kWh ,6.1,185,305,190,710.0,All Wheel Drive,5,"€45,700",,58.0,Hyundai,Average,Long,Performance
Hyundai IONIQ 5 Long Range 2WD,Battery Electric Vehicle |       72.6 kWh ,7.4,185,385,189,890.0,Rear Wheel Drive,5,"€45,100","£41,945",72.6,Hyundai,Average,Long,Performance
Hyundai IONIQ 5 Long Range AWD,Battery Electric Vehicle |       72.6 kWh ,5.2,185,375,194,870.0,All Wheel Drive,5,"€48,900","£45,145",72.6,Hyundai,Average,Long,Performance
Kia EV6 Standard Range 2WD,Battery Electric Vehicle |       58 kWh ,8.5,185,320,181,740.0,Rear Wheel Drive,5,"€44,990","£40,985",58.0,Kia,Average,Long,Standard
Kia EV6 Long Range 2WD,Battery Electric Vehicle |       77.4 kWh ,7.5,185,420,184,980.0,Rear Wheel Drive,5,"€54,990","£48,000",77.4,Kia,Average,Very Long,Performance
Kia EV6 Long Range AWD,Battery Electric Vehicle |       77.4 kWh ,5.4,185,410,189,950.0,All Wheel Drive,5,"€56,000","£52,000",77.4,Kia,Average,Very Long,Performance
Mercedes EQS 450+,Battery Electric Vehicle |       107.8 kWh,6.2,210,640,168,840.0,Rear Wheel Drive,5,"€106,374","£95,000",107.8,Mercedes,Good,Very Long,Performance
